GO biological process complete	Homo sapiens - REFLIST (20595)	intersect.genes_uniq.txt (8324)	intersect.genes_uniq.txt (expected)	intersect.genes_uniq.txt (over/under)	intersect.genes_uniq.txt (fold Enrichment)	intersect.genes_uniq.txt (raw P-value)	intersect.genes_uniq.txt (FDR)
regulation of cell cycle (GO:0051726)	1164	624	470.46	+	1.33	7.48E-09	6.50E-07
reproductive structure development (GO:0048608)	416	223	168.14	+	1.33	7.71E-04	2.39E-02
mitotic cell cycle (GO:0000278)	750	402	303.13	+	1.33	4.45E-06	2.38E-04
eye development (GO:0001654)	364	195	147.12	+	1.33	1.56E-03	4.37E-02
positive regulation of cellular component biogenesis (GO:0044089)	534	286	215.83	+	1.33	1.23E-04	4.82E-03
regulation of secretion by cell (GO:1903530)	581	311	234.83	+	1.32	6.67E-05	2.72E-03
regulation of anatomical structure size (GO:0090066)	514	275	207.75	+	1.32	1.76E-04	6.59E-03
nucleobase-containing compound biosynthetic process (GO:0034654)	975	521	394.07	+	1.32	2.02E-07	1.38E-05
regulation of protein transport (GO:0051223)	556	297	224.72	+	1.32	1.04E-04	4.14E-03
cell development (GO:0048468)	1646	879	665.27	+	1.32	5.65E-12	7.77E-10
regulation of vesicle-mediated transport (GO:0060627)	530	283	214.21	+	1.32	1.59E-04	6.02E-03
positive regulation of protein modification process (GO:0031401)	1079	576	436.11	+	1.32	4.75E-08	3.58E-06
regulation of multicellular organismal development (GO:2000026)	1332	711	538.36	+	1.32	9.50E-10	9.45E-08
protein catabolic process (GO:0030163)	697	372	281.71	+	1.32	1.40E-05	6.63E-04
organophosphate biosynthetic process (GO:0090407)	552	294	223.11	+	1.32	1.33E-04	5.14E-03
chemical synaptic transmission (GO:0007268)	414	220	167.33	+	1.31	1.19E-03	3.44E-02
anterograde trans-synaptic signaling (GO:0098916)	414	220	167.33	+	1.31	1.19E-03	3.44E-02
regulation of establishment of protein localization (GO:0070201)	581	308	234.83	+	1.31	1.22E-04	4.76E-03
trans-synaptic signaling (GO:0099537)	432	229	174.60	+	1.31	9.45E-04	2.87E-02
positive regulation of protein metabolic process (GO:0051247)	1562	828	631.32	+	1.31	8.29E-11	9.57E-09
regulation of signaling (GO:0023051)	3545	1879	1432.80	+	1.31	1.83E-25	1.16E-22
protein localization (GO:0008104)	2063	1093	833.81	+	1.31	3.72E-14	6.26E-12
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	1299	991.44	+	1.31	7.38E-17	1.69E-14
cellular response to endogenous stimulus (GO:0071495)	1152	610	465.61	+	1.31	3.99E-08	3.09E-06
regulation of cell communication (GO:0010646)	3509	1858	1418.25	+	1.31	5.69E-25	3.21E-22
regulation of cellular localization (GO:0060341)	841	445	339.91	+	1.31	3.54E-06	1.91E-04
regulation of transcription by RNA polymerase II (GO:0006357)	2595	1373	1048.84	+	1.31	9.40E-18	2.29E-15
regulation of cell cycle process (GO:0010564)	792	419	320.11	+	1.31	7.45E-06	3.79E-04
synaptic signaling (GO:0099536)	464	245	187.54	+	1.31	7.68E-04	2.39E-02
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1856	1423.51	+	1.30	3.50E-24	1.73E-21
cellular response to stress (GO:0033554)	1741	916	703.67	+	1.30	2.29E-11	2.89E-09
regulation of localization (GO:0032879)	2753	1448	1112.70	+	1.30	4.19E-18	1.05E-15
microtubule cytoskeleton organization (GO:0000226)	567	298	229.17	+	1.30	2.48E-04	8.90E-03
cellular response to hormone stimulus (GO:0032870)	529	278	213.81	+	1.30	3.83E-04	1.30E-02
regulation of transport (GO:0051049)	1772	931	716.20	+	1.30	1.78E-11	2.28E-09
regulation of protein modification process (GO:0031399)	1654	869	668.51	+	1.30	9.54E-11	1.09E-08
positive regulation of cellular protein metabolic process (GO:0032270)	1474	774	595.76	+	1.30	1.47E-09	1.39E-07
response to peptide (GO:1901652)	488	256	197.24	+	1.30	7.58E-04	2.37E-02
heterocycle biosynthetic process (GO:0018130)	1049	550	423.98	+	1.30	5.51E-07	3.56E-05
cell population proliferation (GO:0008283)	485	254	196.03	+	1.30	8.46E-04	2.62E-02
negative regulation of cellular metabolic process (GO:0031324)	2613	1368	1056.11	+	1.30	1.62E-16	3.55E-14
positive regulation of metabolic process (GO:0009893)	3820	1999	1543.95	+	1.29	3.61E-25	2.11E-22
regulation of cellular component movement (GO:0051270)	1032	540	417.11	+	1.29	8.12E-07	4.99E-05
response to endogenous stimulus (GO:0009719)	1426	746	576.35	+	1.29	4.99E-09	4.43E-07
regulation of secretion (GO:0051046)	639	334	258.27	+	1.29	1.33E-04	5.14E-03
regulation of phosphorylation (GO:0042325)	1391	727	562.21	+	1.29	8.20E-09	7.05E-07
regulation of signal transduction (GO:0009966)	3128	1634	1264.26	+	1.29	9.16E-20	2.63E-17
actin filament-based process (GO:0030029)	605	316	244.53	+	1.29	2.14E-04	7.82E-03
protein localization to membrane (GO:0072657)	542	283	219.06	+	1.29	5.08E-04	1.66E-02
aromatic compound biosynthetic process (GO:0019438)	1060	553	428.43	+	1.29	8.21E-07	5.03E-05
response to organonitrogen compound (GO:0010243)	1014	529	409.83	+	1.29	1.36E-06	7.97E-05
regulation of locomotion (GO:0040012)	997	520	402.96	+	1.29	1.74E-06	9.87E-05
cellular macromolecule catabolic process (GO:0044265)	925	482	373.86	+	1.29	5.02E-06	2.65E-04
positive regulation of transport (GO:0051050)	947	493	382.75	+	1.29	4.15E-06	2.23E-04
regulation of protein phosphorylation (GO:0001932)	1218	634	492.29	+	1.29	1.45E-07	1.01E-05
localization within membrane (GO:0051668)	615	320	248.57	+	1.29	2.38E-04	8.58E-03
regulation of cell motility (GO:2000145)	954	496	385.58	+	1.29	4.46E-06	2.38E-04
response to radiation (GO:0009314)	452	235	182.69	+	1.29	1.83E-03	4.96E-02
cell-cell signaling (GO:0007267)	1131	588	457.12	+	1.29	4.85E-07	3.18E-05
regulation of protein serine/threonine kinase activity (GO:0071900)	493	256	199.26	+	1.28	1.22E-03	3.53E-02
response to hormone (GO:0009725)	819	425	331.02	+	1.28	2.69E-05	1.18E-03
organelle localization (GO:0051640)	609	316	246.14	+	1.28	2.95E-04	1.03E-02
regulation of intracellular signal transduction (GO:1902531)	1839	954	743.28	+	1.28	8.38E-11	9.60E-09
regulation of RNA biosynthetic process (GO:2001141)	3480	1803	1406.53	+	1.28	7.14E-21	2.21E-18
posttranscriptional regulation of gene expression (GO:0010608)	581	301	234.83	+	1.28	4.41E-04	1.47E-02
regulation of nucleic acid-templated transcription (GO:1903506)	3475	1800	1404.51	+	1.28	9.23E-21	2.81E-18
muscle structure development (GO:0061061)	473	245	191.18	+	1.28	1.73E-03	4.73E-02
regulation of cell migration (GO:0030334)	892	462	360.52	+	1.28	1.24E-05	5.90E-04
regulation of transcription, DNA-templated (GO:0006355)	3474	1799	1404.11	+	1.28	1.07E-20	3.18E-18
regulation of RNA metabolic process (GO:0051252)	3782	1958	1528.59	+	1.28	8.38E-23	3.23E-20
negative regulation of programmed cell death (GO:0043069)	914	473	369.42	+	1.28	1.03E-05	4.98E-04
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	2094	1636.51	+	1.28	1.60E-24	8.41E-22
positive regulation of phosphorylation (GO:0042327)	921	476	372.25	+	1.28	1.10E-05	5.29E-04
positive regulation of signaling (GO:0023056)	1761	910	711.75	+	1.28	4.32E-10	4.55E-08
positive regulation of protein phosphorylation (GO:0001934)	838	433	338.70	+	1.28	2.84E-05	1.24E-03
carbohydrate derivative biosynthetic process (GO:1901137)	604	312	244.12	+	1.28	4.22E-04	1.41E-02
negative regulation of apoptotic process (GO:0043066)	895	462	361.74	+	1.28	1.68E-05	7.72E-04
actin cytoskeleton organization (GO:0030036)	531	274	214.62	+	1.28	1.04E-03	3.08E-02
intracellular protein transport (GO:0006886)	781	403	315.66	+	1.28	6.26E-05	2.56E-03
positive regulation of cell communication (GO:0010647)	1755	905	709.33	+	1.28	7.08E-10	7.27E-08
regulation of cellular amide metabolic process (GO:0034248)	479	247	193.60	+	1.28	1.84E-03	4.97E-02
positive regulation of molecular function (GO:0044093)	1618	834	653.96	+	1.28	4.06E-09	3.67E-07
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	2043	1603.77	+	1.27	4.77E-23	1.99E-20
regulation of macromolecule biosynthetic process (GO:0010556)	3999	2058	1616.30	+	1.27	3.35E-23	1.47E-20
protein modification by small protein conjugation (GO:0032446)	822	423	332.23	+	1.27	4.75E-05	1.99E-03
protein modification by small protein conjugation or removal (GO:0070647)	1035	532	418.32	+	1.27	4.97E-06	2.63E-04
establishment of protein localization (GO:0045184)	1397	718	564.63	+	1.27	7.95E-08	5.61E-06
positive regulation of catalytic activity (GO:0043085)	1240	637	501.18	+	1.27	5.33E-07	3.48E-05
organic cyclic compound biosynthetic process (GO:1901362)	1196	614	483.39	+	1.27	9.04E-07	5.44E-05
negative regulation of macromolecule metabolic process (GO:0010605)	2880	1478	1164.03	+	1.27	1.12E-15	2.15E-13
regulation of phosphate metabolic process (GO:0019220)	1578	809	637.79	+	1.27	1.43E-08	1.19E-06
regulation of phosphorus metabolic process (GO:0051174)	1578	809	637.79	+	1.27	1.43E-08	1.18E-06
positive regulation of signal transduction (GO:0009967)	1584	812	640.21	+	1.27	1.32E-08	1.11E-06
negative regulation of cell death (GO:0060548)	1008	516	407.41	+	1.27	9.75E-06	4.77E-04
regulation of cellular biosynthetic process (GO:0031326)	4163	2131	1682.58	+	1.27	2.77E-23	1.25E-20
intracellular signal transduction (GO:0035556)	1677	857	677.80	+	1.26	7.87E-09	6.80E-07
macromolecule localization (GO:0033036)	2496	1275	1008.82	+	1.26	5.97E-13	8.98E-11
protein localization to organelle (GO:0033365)	742	379	299.90	+	1.26	1.86E-04	6.97E-03
protein ubiquitination (GO:0016567)	746	381	301.52	+	1.26	1.92E-04	7.14E-03
response to abiotic stimulus (GO:0009628)	1175	600	474.91	+	1.26	2.14E-06	1.20E-04
regulation of biosynthetic process (GO:0009889)	4226	2157	1708.05	+	1.26	4.53E-23	1.94E-20
macromolecule catabolic process (GO:0009057)	1058	540	427.62	+	1.26	7.92E-06	3.96E-04
positive regulation of phosphorus metabolic process (GO:0010562)	998	509	403.37	+	1.26	1.50E-05	7.04E-04
positive regulation of phosphate metabolic process (GO:0045937)	998	509	403.37	+	1.26	1.50E-05	7.02E-04
protein transport (GO:0015031)	1300	663	525.43	+	1.26	6.12E-07	3.90E-05
microtubule-based process (GO:0007017)	806	411	325.77	+	1.26	1.17E-04	4.61E-03
cytoskeleton organization (GO:0007010)	1212	618	489.86	+	1.26	1.55E-06	8.93E-05
positive regulation of apoptotic process (GO:0043065)	560	285	226.34	+	1.26	1.55E-03	4.36E-02
regulation of nitrogen compound metabolic process (GO:0051171)	5740	2921	2319.97	+	1.26	2.70E-33	4.75E-30
negative regulation of cellular process (GO:0048523)	4902	2493	1981.27	+	1.26	6.37E-27	5.59E-24
cellular response to organonitrogen compound (GO:0071417)	604	307	244.12	+	1.26	1.06E-03	3.14E-02
negative regulation of metabolic process (GO:0009892)	3095	1572	1250.92	+	1.26	1.60E-15	3.04E-13
regulation of primary metabolic process (GO:0080090)	5925	3009	2394.74	+	1.26	3.72E-34	7.36E-31
response to nitrogen compound (GO:1901698)	1101	559	445.00	+	1.26	7.80E-06	3.91E-04
regulation of system process (GO:0044057)	585	297	236.44	+	1.26	1.32E-03	3.76E-02
regulation of transmembrane transport (GO:0034762)	591	300	238.87	+	1.26	1.22E-03	3.53E-02
regulation of cellular metabolic process (GO:0031323)	6138	3115	2480.83	+	1.26	1.03E-35	2.34E-32
cell cycle process (GO:0022402)	957	485	386.80	+	1.25	3.79E-05	1.61E-03
cellular protein modification process (GO:0006464)	2985	1512	1206.46	+	1.25	1.41E-14	2.47E-12
protein modification process (GO:0036211)	2985	1512	1206.46	+	1.25	1.41E-14	2.45E-12
positive regulation of cellular process (GO:0048522)	5741	2905	2320.37	+	1.25	1.08E-31	1.42E-28
system development (GO:0048731)	4330	2190	1750.08	+	1.25	6.02E-22	1.98E-19
cellular response to nitrogen compound (GO:1901699)	664	335	268.37	+	1.25	9.32E-04	2.83E-02
regulation of protein metabolic process (GO:0051246)	2665	1343	1077.13	+	1.25	2.26E-12	3.22E-10
regulation of multicellular organismal process (GO:0051239)	2673	1347	1080.36	+	1.25	1.86E-12	2.67E-10
negative regulation of cell population proliferation (GO:0008285)	703	354	284.14	+	1.25	6.89E-04	2.17E-02
phosphate-containing compound metabolic process (GO:0006796)	1808	910	730.75	+	1.25	2.00E-08	1.60E-06
cell cycle (GO:0007049)	1316	662	531.90	+	1.24	2.78E-06	1.54E-04
phosphorus metabolic process (GO:0006793)	1835	923	741.66	+	1.24	1.90E-08	1.55E-06
intracellular transport (GO:0046907)	1464	735	591.71	+	1.24	8.27E-07	5.03E-05
DNA metabolic process (GO:0006259)	777	390	314.04	+	1.24	4.63E-04	1.53E-02
positive regulation of cell death (GO:0010942)	638	320	257.86	+	1.24	1.58E-03	4.41E-02
regulation of cellular protein metabolic process (GO:0032268)	2501	1252	1010.84	+	1.24	5.52E-11	6.51E-09
apoptotic process (GO:0006915)	913	457	369.01	+	1.24	1.68E-04	6.32E-03
macromolecule modification (GO:0043412)	3211	1604	1297.81	+	1.24	5.52E-14	9.08E-12
cellular protein metabolic process (GO:0044267)	3590	1793	1450.99	+	1.24	9.55E-16	1.91E-13
cellular macromolecule metabolic process (GO:0044260)	4909	2448	1984.10	+	1.23	1.67E-22	6.14E-20
multicellular organism development (GO:0007275)	4941	2462	1997.03	+	1.23	1.75E-22	6.28E-20
nucleic acid metabolic process (GO:0090304)	2217	1104	896.06	+	1.23	2.64E-09	2.42E-07
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	773	627.68	+	1.23	1.09E-06	6.44E-05
cellular macromolecule biosynthetic process (GO:0034645)	1639	815	662.44	+	1.23	6.00E-07	3.84E-05
organelle organization (GO:0006996)	3567	1773	1441.69	+	1.23	5.91E-15	1.06E-12
macromolecule biosynthetic process (GO:0009059)	1680	835	679.02	+	1.23	4.39E-07	2.89E-05
regulation of programmed cell death (GO:0043067)	1532	761	619.20	+	1.23	1.69E-06	9.71E-05
regulation of MAPK cascade (GO:0043408)	707	351	285.75	+	1.23	1.63E-03	4.51E-02
negative regulation of protein metabolic process (GO:0051248)	1112	552	449.44	+	1.23	5.85E-05	2.40E-03
regulation of cell population proliferation (GO:0042127)	1654	821	668.51	+	1.23	6.63E-07	4.16E-05
negative regulation of cellular protein metabolic process (GO:0032269)	1040	516	420.34	+	1.23	1.13E-04	4.49E-03
negative regulation of multicellular organismal process (GO:0051241)	1014	503	409.83	+	1.23	1.35E-04	5.17E-03
regulation of biological quality (GO:0065008)	3995	1981	1614.68	+	1.23	1.21E-16	2.73E-14
regulation of apoptotic process (GO:0042981)	1493	740	603.43	+	1.23	2.95E-06	1.63E-04
negative regulation of gene expression (GO:0010629)	999	495	403.77	+	1.23	1.71E-04	6.44E-03
cellular component organization (GO:0016043)	5783	2859	2337.35	+	1.22	1.46E-25	9.59E-23
regulation of macromolecule metabolic process (GO:0060255)	6340	3134	2562.47	+	1.22	4.62E-29	5.21E-26
cellular localization (GO:0051641)	2985	1475	1206.46	+	1.22	1.03E-11	1.36E-09
regulation of metabolic process (GO:0019222)	6874	3396	2778.30	+	1.22	1.68E-32	2.66E-29
negative regulation of response to stimulus (GO:0048585)	1831	904	740.05	+	1.22	3.25E-07	2.19E-05
negative regulation of biological process (GO:0048519)	5501	2714	2223.37	+	1.22	2.00E-23	9.28E-21
anatomical structure development (GO:0048856)	5330	2629	2154.26	+	1.22	1.85E-22	6.51E-20
regulation of cell death (GO:0010941)	1668	822	674.17	+	1.22	1.45E-06	8.42E-05
regulation of molecular function (GO:0065009)	3118	1535	1260.22	+	1.22	7.68E-12	1.04E-09
developmental process (GO:0032502)	5797	2853	2343.01	+	1.22	1.61E-24	8.21E-22
nucleobase-containing compound metabolic process (GO:0006139)	2705	1331	1093.30	+	1.22	3.75E-10	3.98E-08
cellular component organization or biogenesis (GO:0071840)	6006	2955	2427.48	+	1.22	1.18E-25	8.10E-23
positive regulation of intracellular signal transduction (GO:1902533)	1040	511	420.34	+	1.22	2.49E-04	8.90E-03
cellular component assembly (GO:0022607)	2494	1225	1008.01	+	1.22	3.20E-09	2.92E-07
regulation of catalytic activity (GO:0050790)	2433	1194	983.36	+	1.21	6.31E-09	5.51E-07
regulation of gene expression (GO:0010468)	4922	2414	1989.35	+	1.21	3.67E-19	1.02E-16
positive regulation of biological process (GO:0048518)	6331	3104	2558.84	+	1.21	1.17E-26	9.25E-24
nitrogen compound transport (GO:0071705)	1708	836	690.33	+	1.21	2.57E-06	1.43E-04
RNA metabolic process (GO:0016070)	1582	773	639.41	+	1.21	7.95E-06	3.97E-04
animal organ development (GO:0048513)	3220	1572	1301.45	+	1.21	2.76E-11	3.41E-09
cellular biosynthetic process (GO:0044249)	2715	1325	1097.34	+	1.21	1.99E-09	1.85E-07
biosynthetic process (GO:0009058)	2865	1398	1157.96	+	1.21	5.81E-10	6.04E-08
response to lipid (GO:0033993)	831	405	335.87	+	1.21	1.83E-03	4.96E-02
organic substance biosynthetic process (GO:1901576)	2803	1365	1132.90	+	1.20	1.45E-09	1.38E-07
positive regulation of multicellular organismal process (GO:0051240)	1431	696	578.38	+	1.20	4.00E-05	1.69E-03
cellular response to organic substance (GO:0071310)	2344	1140	947.39	+	1.20	6.31E-08	4.55E-06
cellular response to oxygen-containing compound (GO:1901701)	1075	522	434.49	+	1.20	4.67E-04	1.54E-02
cellular component biogenesis (GO:0044085)	2754	1337	1113.10	+	1.20	4.26E-09	3.83E-07
protein-containing complex subunit organization (GO:0043933)	1605	779	648.70	+	1.20	1.53E-05	7.13E-04
cellular developmental process (GO:0048869)	3634	1763	1468.77	+	1.20	4.48E-12	6.27E-10
response to oxygen-containing compound (GO:1901700)	1604	778	648.30	+	1.20	1.69E-05	7.78E-04
positive regulation of cell population proliferation (GO:0008284)	939	455	379.52	+	1.20	1.30E-03	3.74E-02
response to organic substance (GO:0010033)	3008	1457	1215.76	+	1.20	9.71E-10	9.59E-08
establishment of localization in cell (GO:0051649)	2335	1129	943.75	+	1.20	1.76E-07	1.22E-05
cellular aromatic compound metabolic process (GO:0006725)	2937	1420	1187.06	+	1.20	2.55E-09	2.36E-07
cell differentiation (GO:0030154)	3575	1728	1444.93	+	1.20	2.09E-11	2.66E-09
organonitrogen compound catabolic process (GO:1901565)	1091	527	440.96	+	1.20	6.24E-04	1.99E-02
heterocycle metabolic process (GO:0046483)	2891	1394	1168.47	+	1.19	6.04E-09	5.30E-07
protein metabolic process (GO:0019538)	4203	2025	1698.75	+	1.19	3.56E-13	5.41E-11
developmental process involved in reproduction (GO:0003006)	974	469	393.67	+	1.19	1.56E-03	4.37E-02
protein-containing complex assembly (GO:0065003)	1358	653	548.87	+	1.19	1.92E-04	7.13E-03
movement of cell or subcellular component (GO:0006928)	1596	764	645.06	+	1.18	7.38E-05	3.00E-03
cellular nitrogen compound metabolic process (GO:0034641)	3395	1625	1372.18	+	1.18	1.01E-09	9.95E-08
cellular metabolic process (GO:0044237)	7542	3599	3048.29	+	1.18	2.11E-25	1.28E-22
macromolecule metabolic process (GO:0043170)	6151	2934	2486.09	+	1.18	7.92E-19	2.09E-16
cellular catabolic process (GO:0044248)	1812	864	732.37	+	1.18	3.35E-05	1.44E-03
organic cyclic compound metabolic process (GO:1901360)	3182	1515	1286.09	+	1.18	1.27E-08	1.08E-06
nitrogen compound metabolic process (GO:0006807)	6886	3275	2783.15	+	1.18	2.71E-21	8.57E-19
primary metabolic process (GO:0044238)	7352	3488	2971.50	+	1.17	8.75E-23	3.29E-20
locomotion (GO:0040011)	1345	638	543.62	+	1.17	6.29E-04	2.00E-02
organonitrogen compound biosynthetic process (GO:1901566)	1379	654	557.36	+	1.17	5.48E-04	1.78E-02
organic substance transport (GO:0071702)	2079	984	840.28	+	1.17	2.00E-05	8.98E-04
tissue development (GO:0009888)	1729	818	698.82	+	1.17	1.18E-04	4.63E-03
organonitrogen compound metabolic process (GO:1901564)	5246	2472	2120.31	+	1.17	2.88E-13	4.42E-11
regulation of response to stimulus (GO:0048583)	4306	2028	1740.38	+	1.17	1.80E-10	1.96E-08
cellular response to chemical stimulus (GO:0070887)	2914	1365	1177.77	+	1.16	1.36E-06	7.95E-05
metabolic process (GO:0008152)	8313	3880	3359.91	+	1.15	2.72E-22	9.36E-20
homeostatic process (GO:0042592)	1680	784	679.02	+	1.15	5.74E-04	1.85E-02
organic substance metabolic process (GO:0071704)	7840	3656	3168.74	+	1.15	4.56E-20	1.34E-17
catabolic process (GO:0009056)	2096	976	847.15	+	1.15	1.25E-04	4.85E-03
localization (GO:0051179)	5831	2710	2356.75	+	1.15	1.08E-12	1.56E-10
gene expression (GO:0010467)	2117	967	855.64	+	1.13	9.53E-04	2.89E-02
establishment of localization (GO:0051234)	4631	2110	1871.74	+	1.13	2.25E-07	1.54E-05
transport (GO:0006810)	4476	2033	1809.09	+	1.12	8.21E-07	5.01E-05
regulation of cellular process (GO:0050794)	11351	5136	4587.80	+	1.12	1.02E-24	5.57E-22
regulation of biological process (GO:0050789)	11898	5338	4808.88	+	1.11	1.37E-23	6.56E-21
biological regulation (GO:0065007)	12568	5593	5079.68	+	1.10	5.75E-23	2.33E-20
multicellular organismal process (GO:0032501)	6926	3058	2799.32	+	1.09	5.35E-07	3.48E-05
cellular process (GO:0009987)	15495	6748	6262.70	+	1.08	4.00E-27	3.72E-24
cellular response to stimulus (GO:0051716)	6807	2920	2751.22	+	1.06	9.71E-04	2.92E-02
biological_process (GO:0008150)	17851	7595	7214.94	+	1.05	1.27E-28	1.34E-25
system process (GO:0003008)	2057	718	831.39	-	.86	3.53E-04	1.21E-02
immune system process (GO:0002376)	2903	998	1173.32	-	.85	1.81E-06	1.02E-04
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	519	643.85	-	.81	7.78E-06	3.91E-04
response to biotic stimulus (GO:0009607)	1547	489	625.26	-	.78	6.34E-07	4.03E-05
regulation of immune response (GO:0050776)	1183	369	478.14	-	.77	5.92E-06	3.08E-04
positive regulation of immune system process (GO:0002684)	1069	333	432.06	-	.77	1.51E-05	7.04E-04
nervous system process (GO:0050877)	1416	430	572.31	-	.75	4.29E-08	3.29E-06
response to external biotic stimulus (GO:0043207)	1426	433	576.35	-	.75	4.06E-08	3.13E-06
response to other organism (GO:0051707)	1425	432	575.95	-	.75	3.44E-08	2.68E-06
regulation of inflammatory response (GO:0050727)	518	156	209.36	-	.75	9.11E-04	2.78E-02
inflammatory response (GO:0006954)	498	146	201.28	-	.73	4.26E-04	1.42E-02
epidermis development (GO:0008544)	422	123	170.56	-	.72	1.14E-03	3.32E-02
negative regulation of immune response (GO:0050777)	373	107	150.76	-	.71	1.34E-03	3.82E-02
immune response (GO:0006955)	2075	587	838.66	-	.70	2.09E-16	4.53E-14
defense response (GO:0006952)	1426	403	576.35	-	.70	1.62E-11	2.12E-09
positive regulation of immune response (GO:0050778)	747	208	301.92	-	.69	7.29E-07	4.54E-05
immune response-regulating signaling pathway (GO:0002764)	495	137	200.07	-	.68	5.10E-05	2.11E-03
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	136	198.85	-	.68	4.85E-05	2.02E-03
leukocyte migration (GO:0050900)	379	103	153.18	-	.67	2.51E-04	8.94E-03
Unclassified (UNCLASSIFIED)	2744	729	1109.06	-	.66	1.27E-28	1.26E-25
response to bacterium (GO:0009617)	721	191	291.41	-	.66	5.31E-08	3.92E-06
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	119	183.90	-	.65	1.14E-05	5.44E-04
immune response-activating signal transduction (GO:0002757)	455	119	183.90	-	.65	1.14E-05	5.42E-04
antigen receptor-mediated signaling pathway (GO:0050851)	299	78	120.85	-	.65	3.73E-04	1.27E-02
activation of immune response (GO:0002253)	530	138	214.21	-	.64	1.50E-06	8.66E-05
defense response to other organism (GO:0098542)	1038	269	419.53	-	.64	5.28E-12	7.32E-10
regulation of immune effector process (GO:0002697)	435	109	175.82	-	.62	3.26E-06	1.77E-04
innate immune response (GO:0045087)	848	212	342.74	-	.62	3.47E-11	4.18E-09
cell recognition (GO:0008037)	241	57	97.41	-	.59	1.41E-04	5.40E-03
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	49	84.07	-	.58	3.99E-04	1.35E-02
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	52	89.73	-	.58	2.16E-04	7.89E-03
G protein-coupled receptor signaling pathway (GO:0007186)	1305	298	527.45	-	.56	5.40E-22	1.82E-19
epidermal cell differentiation (GO:0009913)	322	67	130.14	-	.51	1.33E-07	9.27E-06
sensory perception (GO:0007600)	979	202	395.69	-	.51	2.53E-21	8.16E-19
defense response to Gram-positive bacterium (GO:0050830)	104	20	42.03	-	.48	1.37E-03	3.91E-02
membrane invagination (GO:0010324)	148	27	59.82	-	.45	5.04E-05	2.09E-03
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	49	108.72	-	.45	2.35E-08	1.86E-06
cornification (GO:0070268)	113	20	45.67	-	.44	2.45E-04	8.82E-03
cell killing (GO:0001906)	126	21	50.93	-	.41	4.95E-05	2.06E-03
plasma membrane invagination (GO:0099024)	141	23	56.99	-	.40	1.23E-05	5.87E-04
antimicrobial humoral response (GO:0019730)	154	24	62.24	-	.39	1.72E-06	9.81E-05
defense response to Gram-negative bacterium (GO:0050829)	91	14	36.78	-	.38	3.11E-04	1.08E-02
keratinocyte differentiation (GO:0030216)	270	41	109.13	-	.38	7.76E-11	9.02E-09
lymphocyte mediated immunity (GO:0002449)	259	39	104.68	-	.37	1.70E-10	1.87E-08
defense response to bacterium (GO:0042742)	350	49	141.46	-	.35	2.74E-15	5.03E-13
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	14	41.23	-	.34	3.04E-05	1.32E-03
adaptive immune response (GO:0002250)	658	88	265.95	-	.33	2.64E-29	3.21E-26
detection of stimulus (GO:0051606)	721	96	291.41	-	.33	2.92E-32	4.20E-29
phagocytosis, engulfment (GO:0006911)	132	17	53.35	-	.32	4.35E-07	2.88E-05
killing of cells of other organism (GO:0031640)	87	11	35.16	-	.31	4.49E-05	1.89E-03
humoral immune response (GO:0006959)	386	48	156.01	-	.31	4.83E-19	1.29E-16
production of molecular mediator of immune response (GO:0002440)	141	17	56.99	-	.30	7.43E-08	5.27E-06
immunoglobulin production (GO:0002377)	138	16	55.78	-	.29	4.99E-08	3.72E-06
sensory perception of taste (GO:0050909)	69	8	27.89	-	.29	1.33E-04	5.15E-03
B cell mediated immunity (GO:0019724)	205	23	82.86	-	.28	9.56E-12	1.28E-09
immunoglobulin mediated immune response (GO:0016064)	201	21	81.24	-	.26	2.76E-12	3.89E-10
keratinization (GO:0031424)	227	22	91.75	-	.24	1.41E-14	2.42E-12
regulation of humoral immune response (GO:0002920)	142	13	57.39	-	.23	6.03E-10	6.23E-08
peptide cross-linking (GO:0018149)	102	9	41.23	-	.22	1.36E-07	9.48E-06
B cell receptor signaling pathway (GO:0050853)	129	10	52.14	-	.19	3.66E-10	3.91E-08
monocyte chemotaxis (GO:0002548)	42	3	16.98	-	.18	4.09E-04	1.38E-02
regulation of complement activation (GO:0030449)	118	8	47.69	-	.17	5.49E-10	5.74E-08
phagocytosis, recognition (GO:0006910)	106	7	42.84	-	.16	3.46E-09	3.14E-07
detection of stimulus involved in sensory perception (GO:0050906)	557	35	225.13	-	.16	1.19E-45	3.15E-42
cytolysis (GO:0019835)	34	2	13.74	-	.15	1.27E-03	3.64E-02
sensory perception of chemical stimulus (GO:0007606)	543	24	219.47	-	.11	4.02E-52	1.59E-48
