




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (6957)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (FDR)
ribonucleoprotein complex biogenesis (GO:0022613)	462	214	156.06	+	1.37	1.62E-04	6.27E-03
protein phosphorylation (GO:0006468)	685	317	231.39	+	1.37	3.53E-06	2.12E-04
negative regulation of cellular metabolic process (GO:0031324)	2613	1209	882.67	+	1.37	9.03E-22	2.64E-19
positive regulation of protein transport (GO:0051222)	331	153	111.81	+	1.37	1.51E-03	4.37E-02
ribosome biogenesis (GO:0042254)	329	152	111.14	+	1.37	1.75E-03	4.92E-02
protein localization (GO:0008104)	2063	952	696.88	+	1.37	1.24E-16	2.61E-14
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	750	549.94	+	1.36	5.07E-13	6.97E-11
positive regulation of transcription, DNA-templated (GO:0045893)	1628	750	549.94	+	1.36	5.07E-13	6.91E-11
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1438	1054.95	+	1.36	1.20E-25	5.95E-23
positive regulation of RNA biosynthetic process (GO:1902680)	1629	750	550.28	+	1.36	6.11E-13	8.25E-11
cellular response to peptide (GO:1901653)	339	156	114.51	+	1.36	1.70E-03	4.81E-02
post-translational protein modification (GO:0043687)	361	166	121.95	+	1.36	1.17E-03	3.51E-02
regulation of transferase activity (GO:0051338)	1033	475	348.95	+	1.36	1.93E-08	1.64E-06
negative regulation of signal transduction (GO:0009968)	1305	600	440.83	+	1.36	2.11E-10	2.14E-08
organic cyclic compound biosynthetic process (GO:1901362)	1196	549	404.01	+	1.36	1.76E-09	1.63E-07
ncRNA processing (GO:0034470)	436	200	147.28	+	1.36	3.70E-04	1.31E-02
regulation of cellular component organization (GO:0051128)	2390	1095	807.34	+	1.36	1.66E-18	3.81E-16
heterocycle metabolic process (GO:0046483)	2891	1324	976.58	+	1.36	1.08E-22	3.49E-20
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	711	524.60	+	1.36	5.98E-12	7.21E-10
regulation of protein modification process (GO:0031399)	1654	757	558.72	+	1.35	1.20E-12	1.59E-10
cellular macromolecule biosynthetic process (GO:0034645)	1639	750	553.65	+	1.35	1.41E-12	1.82E-10
regulation of cell growth (GO:0001558)	422	193	142.55	+	1.35	5.97E-04	1.98E-02
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	852	629.32	+	1.35	3.59E-14	5.73E-12
cellular macromolecule metabolic process (GO:0044260)	4909	2245	1658.26	+	1.35	1.75E-42	2.52E-39
regulation of protein-containing complex assembly (GO:0043254)	455	208	153.70	+	1.35	3.43E-04	1.23E-02
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	192	141.88	+	1.35	5.81E-04	1.94E-02
organelle organization (GO:0006996)	3567	1630	1204.93	+	1.35	1.91E-28	1.31E-25
cellular protein modification process (GO:0006464)	2985	1364	1008.33	+	1.35	3.83E-23	1.35E-20
protein modification process (GO:0036211)	2985	1364	1008.33	+	1.35	3.83E-23	1.32E-20
regulation of protein transport (GO:0051223)	556	254	187.82	+	1.35	7.88E-05	3.33E-03
positive regulation of protein metabolic process (GO:0051247)	1562	713	527.64	+	1.35	8.03E-12	9.61E-10
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	553	409.41	+	1.35	3.04E-09	2.78E-07
positive regulation of cellular metabolic process (GO:0031325)	3314	1511	1119.47	+	1.35	1.14E-25	5.84E-23
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	522	238	176.33	+	1.35	1.36E-04	5.36E-03
cellular protein metabolic process (GO:0044267)	3590	1636	1212.70	+	1.35	4.44E-28	2.81E-25
negative regulation of signaling (GO:0023057)	1405	640	474.61	+	1.35	1.70E-10	1.74E-08
regulation of supramolecular fiber organization (GO:1902903)	382	174	129.04	+	1.35	1.13E-03	3.41E-02
regulation of cellular localization (GO:0060341)	841	383	284.09	+	1.35	1.20E-06	7.68E-05
negative regulation of cell communication (GO:0010648)	1401	638	473.26	+	1.35	1.91E-10	1.95E-08
macromolecule biosynthetic process (GO:0009059)	1680	765	567.50	+	1.35	1.99E-12	2.54E-10
MAPK cascade (GO:0000165)	402	183	135.80	+	1.35	8.90E-04	2.80E-02
negative regulation of cellular component organization (GO:0051129)	724	329	244.57	+	1.35	8.35E-06	4.73E-04
regulation of establishment of protein localization (GO:0070201)	581	264	196.26	+	1.35	6.70E-05	2.89E-03
macromolecule modification (GO:0043412)	3211	1459	1084.68	+	1.35	3.45E-24	1.33E-21
cellular aromatic compound metabolic process (GO:0006725)	2937	1334	992.12	+	1.34	8.24E-22	2.46E-19
regulation of protein kinase activity (GO:0045859)	802	364	270.92	+	1.34	2.72E-06	1.65E-04
positive regulation of cellular biosynthetic process (GO:0031328)	1969	892	665.13	+	1.34	4.09E-14	6.40E-12
ncRNA metabolic process (GO:0034660)	521	236	175.99	+	1.34	2.18E-04	8.14E-03
negative regulation of macromolecule metabolic process (GO:0010605)	2880	1303	972.87	+	1.34	8.82E-21	2.40E-18
regulation of protein serine/threonine kinase activity (GO:0071900)	493	223	166.54	+	1.34	3.44E-04	1.23E-02
enzyme linked receptor protein signaling pathway (GO:0007167)	723	327	244.23	+	1.34	1.14E-05	6.27E-04
apoptotic process (GO:0006915)	913	412	308.41	+	1.34	9.50E-07	6.26E-05
positive regulation of cellular protein metabolic process (GO:0032270)	1474	665	497.92	+	1.34	2.41E-10	2.42E-08
regulation of kinase activity (GO:0043549)	914	412	308.75	+	1.33	9.65E-07	6.33E-05
regulation of cell projection organization (GO:0031344)	648	292	218.89	+	1.33	4.28E-05	2.01E-03
negative regulation of gene expression (GO:0010629)	999	450	337.46	+	1.33	3.34E-07	2.37E-05
microtubule-based process (GO:0007017)	806	363	272.27	+	1.33	5.40E-06	3.16E-04
chordate embryonic development (GO:0043009)	613	276	207.07	+	1.33	7.27E-05	3.10E-03
positive regulation of biosynthetic process (GO:0009891)	2004	902	676.95	+	1.33	1.01E-13	1.51E-11
organonitrogen compound catabolic process (GO:1901565)	1091	491	368.54	+	1.33	9.14E-08	6.95E-06
positive regulation of apoptotic process (GO:0043065)	560	252	189.17	+	1.33	1.59E-04	6.22E-03
cellular nitrogen compound metabolic process (GO:0034641)	3395	1526	1146.83	+	1.33	6.65E-24	2.50E-21
positive regulation of protein modification process (GO:0031401)	1079	483	364.49	+	1.33	2.04E-07	1.51E-05
regulation of neuron projection development (GO:0010975)	447	200	151.00	+	1.32	9.71E-04	3.03E-02
macromolecule localization (GO:0033036)	2496	1116	843.15	+	1.32	1.88E-16	3.87E-14
regulation of small molecule metabolic process (GO:0062012)	421	188	142.21	+	1.32	1.56E-03	4.47E-02
negative regulation of metabolic process (GO:0009892)	3095	1382	1045.49	+	1.32	1.67E-20	4.48E-18
regulation of protein metabolic process (GO:0051246)	2665	1189	900.24	+	1.32	2.48E-17	5.44E-15
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1571	1189.73	+	1.32	1.50E-23	5.52E-21
cellular catabolic process (GO:0044248)	1812	808	612.09	+	1.32	1.10E-11	1.30E-09
regulation of cellular component biogenesis (GO:0044087)	974	434	329.02	+	1.32	1.40E-06	8.85E-05
embryo development ending in birth or egg hatching (GO:0009792)	633	282	213.83	+	1.32	1.07E-04	4.40E-03
protein-containing complex subunit organization (GO:0043933)	1605	715	542.17	+	1.32	2.51E-10	2.48E-08
regulation of plasma membrane bounded cell projection organization (GO:0120035)	631	281	213.15	+	1.32	1.22E-04	4.87E-03
positive regulation of programmed cell death (GO:0043068)	575	256	194.24	+	1.32	2.58E-04	9.53E-03
positive regulation of cell death (GO:0010942)	638	284	215.52	+	1.32	1.13E-04	4.59E-03
regulation of cellular protein metabolic process (GO:0032268)	2501	1112	844.84	+	1.32	8.68E-16	1.63E-13
establishment of localization in cell (GO:0051649)	2335	1038	788.76	+	1.32	1.05E-14	1.73E-12
positive regulation of transferase activity (GO:0051347)	693	308	234.10	+	1.32	6.13E-05	2.67E-03
negative regulation of protein metabolic process (GO:0051248)	1112	494	375.63	+	1.32	2.94E-07	2.10E-05
negative regulation of cellular protein metabolic process (GO:0032269)	1040	462	351.31	+	1.32	7.26E-07	4.89E-05
nitrogen compound transport (GO:0071705)	1708	758	576.96	+	1.31	1.15E-10	1.23E-08
organic cyclic compound metabolic process (GO:1901360)	3182	1412	1074.88	+	1.31	3.46E-20	9.11E-18
positive regulation of cellular component organization (GO:0051130)	1161	515	392.19	+	1.31	1.72E-07	1.27E-05
intracellular signal transduction (GO:0035556)	1677	743	566.49	+	1.31	2.46E-10	2.46E-08
embryo development (GO:0009790)	991	439	334.76	+	1.31	1.95E-06	1.22E-04
response to growth factor (GO:0070848)	526	233	177.68	+	1.31	5.92E-04	1.97E-02
positive regulation of metabolic process (GO:0009893)	3820	1691	1290.40	+	1.31	1.82E-24	7.59E-22
cellular response to growth factor stimulus (GO:0071363)	497	220	167.89	+	1.31	9.18E-04	2.88E-02
phosphorus metabolic process (GO:0006793)	1835	811	619.86	+	1.31	4.16E-11	4.70E-09
phosphate-containing compound metabolic process (GO:0006796)	1808	799	610.74	+	1.31	5.89E-11	6.38E-09
positive regulation of protein kinase activity (GO:0045860)	539	238	182.07	+	1.31	5.86E-04	1.95E-02
cellular biosynthetic process (GO:0044249)	2715	1198	917.13	+	1.31	2.51E-16	5.01E-14
cellular localization (GO:0051641)	2985	1317	1008.33	+	1.31	4.51E-18	1.02E-15
neutrophil mediated immunity (GO:0002446)	497	219	167.89	+	1.30	1.07E-03	3.26E-02
response to peptide (GO:1901652)	488	215	164.85	+	1.30	1.31E-03	3.86E-02
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	1783	1367.75	+	1.30	3.41E-25	1.54E-22
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	1746	1340.39	+	1.30	1.83E-24	7.42E-22
neutrophil degranulation (GO:0043312)	482	212	162.82	+	1.30	1.43E-03	4.14E-02
regulation of macromolecule biosynthetic process (GO:0010556)	3999	1757	1350.86	+	1.30	2.05E-24	8.09E-22
regulation of phosphorylation (GO:0042325)	1391	611	469.88	+	1.30	3.11E-08	2.53E-06
regulation of cellular biosynthetic process (GO:0031326)	4163	1828	1406.26	+	1.30	1.69E-25	8.08E-23
regulation of protein phosphorylation (GO:0001932)	1218	534	411.44	+	1.30	3.52E-07	2.48E-05
regulation of RNA metabolic process (GO:0051252)	3782	1656	1277.56	+	1.30	3.03E-22	9.38E-20
vasculature development (GO:0001944)	514	225	173.63	+	1.30	1.27E-03	3.76E-02
regulation of biosynthetic process (GO:0009889)	4226	1849	1427.54	+	1.30	2.94E-25	1.37E-22
biosynthetic process (GO:0009058)	2865	1253	967.80	+	1.29	3.95E-16	7.71E-14
cytoskeleton organization (GO:0007010)	1212	530	409.41	+	1.29	4.47E-07	3.10E-05
organic substance biosynthetic process (GO:1901576)	2803	1224	946.85	+	1.29	1.26E-15	2.35E-13
protein-containing complex assembly (GO:0065003)	1358	593	458.73	+	1.29	9.78E-08	7.36E-06
regulation of nucleic acid-templated transcription (GO:1903506)	3475	1514	1173.86	+	1.29	1.98E-19	5.05E-17
regulation of transcription, DNA-templated (GO:0006355)	3474	1513	1173.52	+	1.29	2.30E-19	5.78E-17
regulation of RNA biosynthetic process (GO:2001141)	3480	1514	1175.55	+	1.29	3.32E-19	8.21E-17
macromolecule metabolic process (GO:0043170)	6151	2674	2077.81	+	1.29	2.84E-39	3.45E-36
regulation of nitrogen compound metabolic process (GO:0051171)	5740	2494	1938.97	+	1.29	1.94E-35	1.80E-32
regulation of cellular metabolic process (GO:0031323)	6138	2663	2073.42	+	1.28	1.76E-38	1.99E-35
regulation of primary metabolic process (GO:0080090)	5925	2569	2001.47	+	1.28	2.09E-36	2.06E-33
cellular metabolic process (GO:0044237)	7542	3266	2547.69	+	1.28	7.56E-52	2.99E-48
regulation of intracellular signal transduction (GO:1902531)	1839	796	621.22	+	1.28	1.51E-09	1.41E-07
regulation of transcription by RNA polymerase II (GO:0006357)	2595	1123	876.59	+	1.28	1.91E-13	2.72E-11
protein metabolic process (GO:0019538)	4203	1818	1419.78	+	1.28	7.22E-23	2.38E-20
cellular protein-containing complex assembly (GO:0034622)	867	375	292.87	+	1.28	5.94E-05	2.60E-03
localization within membrane (GO:0051668)	615	266	207.75	+	1.28	7.97E-04	2.55E-02
regulation of phosphate metabolic process (GO:0019220)	1578	682	533.05	+	1.28	3.48E-08	2.80E-06
regulation of phosphorus metabolic process (GO:0051174)	1578	682	533.05	+	1.28	3.48E-08	2.78E-06
nitrogen compound metabolic process (GO:0006807)	6886	2975	2326.09	+	1.28	4.76E-44	7.52E-41
organic substance catabolic process (GO:1901575)	1769	764	597.57	+	1.28	4.57E-09	4.01E-07
catabolic process (GO:0009056)	2096	905	708.03	+	1.28	1.20E-10	1.27E-08
embryonic morphogenesis (GO:0048598)	570	246	192.55	+	1.28	1.40E-03	4.08E-02
cellular component biogenesis (GO:0044085)	2754	1188	930.30	+	1.28	6.66E-14	1.01E-11
gene expression (GO:0010467)	2117	912	715.12	+	1.28	1.43E-10	1.49E-08
response to abiotic stimulus (GO:0009628)	1175	506	396.92	+	1.27	3.49E-06	2.10E-04
primary metabolic process (GO:0044238)	7352	3164	2483.51	+	1.27	3.68E-47	8.30E-44
response to organonitrogen compound (GO:0010243)	1014	436	342.53	+	1.27	2.06E-05	1.04E-03
negative regulation of programmed cell death (GO:0043069)	914	393	308.75	+	1.27	5.90E-05	2.59E-03
positive regulation of kinase activity (GO:0033674)	614	264	207.41	+	1.27	1.04E-03	3.18E-02
negative regulation of cellular process (GO:0048523)	4902	2107	1655.90	+	1.27	2.97E-26	1.74E-23
proteolysis (GO:0006508)	1306	561	441.17	+	1.27	1.17E-06	7.52E-05
cellular component assembly (GO:0022607)	2494	1071	842.47	+	1.27	3.70E-12	4.53E-10
negative regulation of cell death (GO:0060548)	1008	432	340.50	+	1.27	2.93E-05	1.44E-03
organelle assembly (GO:0070925)	796	340	268.89	+	1.26	2.83E-04	1.03E-02
negative regulation of apoptotic process (GO:0043066)	895	382	302.33	+	1.26	1.12E-04	4.58E-03
tube development (GO:0035295)	856	365	289.16	+	1.26	1.81E-04	6.94E-03
regulation of programmed cell death (GO:0043067)	1532	653	517.51	+	1.26	3.20E-07	2.28E-05
organophosphate metabolic process (GO:0019637)	894	381	301.99	+	1.26	1.27E-04	5.05E-03
lipid biosynthetic process (GO:0008610)	630	268	212.81	+	1.26	1.55E-03	4.45E-02
tube morphogenesis (GO:0035239)	654	277	220.92	+	1.25	1.63E-03	4.66E-02
head development (GO:0060322)	803	340	271.25	+	1.25	4.40E-04	1.53E-02
regulation of apoptotic process (GO:0042981)	1493	632	504.34	+	1.25	1.15E-06	7.39E-05
regulation of cell death (GO:0010941)	1668	706	563.45	+	1.25	2.35E-07	1.71E-05
brain development (GO:0007420)	759	321	256.39	+	1.25	6.82E-04	2.21E-02
organic substance transport (GO:0071702)	2079	879	702.29	+	1.25	5.60E-09	4.86E-07
positive regulation of catalytic activity (GO:0043085)	1240	524	418.87	+	1.25	1.26E-05	6.77E-04
regulation of macromolecule metabolic process (GO:0060255)	6340	2677	2141.65	+	1.25	1.04E-31	8.20E-29
regulation of anatomical structure morphogenesis (GO:0022603)	967	408	326.65	+	1.25	1.49E-04	5.85E-03
regulation of metabolic process (GO:0019222)	6874	2896	2322.04	+	1.25	5.87E-35	5.16E-32
positive regulation of protein phosphorylation (GO:0001934)	838	353	283.08	+	1.25	4.42E-04	1.53E-02
programmed cell death (GO:0012501)	1050	442	354.69	+	1.25	8.67E-05	3.63E-03
positive regulation of molecular function (GO:0044093)	1618	681	546.56	+	1.25	7.65E-07	5.13E-05
cell death (GO:0008219)	1086	457	366.85	+	1.25	6.76E-05	2.91E-03
organic substance metabolic process (GO:0071704)	7840	3297	2648.36	+	1.24	2.85E-42	3.75E-39
positive regulation of cellular process (GO:0048522)	5741	2414	1939.31	+	1.24	1.35E-26	8.21E-24
cellular component organization or biogenesis (GO:0071840)	6006	2525	2028.83	+	1.24	3.08E-28	2.03E-25
regulation of signal transduction (GO:0009966)	3128	1315	1056.64	+	1.24	7.43E-13	9.96E-11
cellular response to endogenous stimulus (GO:0071495)	1152	484	389.15	+	1.24	4.47E-05	2.08E-03
regulation of developmental process (GO:0050793)	2461	1033	831.33	+	1.24	5.89E-10	5.61E-08
organonitrogen compound metabolic process (GO:1901564)	5246	2201	1772.10	+	1.24	4.46E-23	1.50E-20
cellular component organization (GO:0016043)	5783	2423	1953.50	+	1.24	6.05E-26	3.19E-23
metabolic process (GO:0008152)	8313	3483	2808.14	+	1.24	4.49E-45	7.89E-42
response to hormone (GO:0009725)	819	343	276.66	+	1.24	8.10E-04	2.59E-02
response to nitrogen compound (GO:1901698)	1101	461	371.92	+	1.24	8.47E-05	3.56E-03
regulation of cell differentiation (GO:0045595)	1586	663	535.75	+	1.24	2.14E-06	1.33E-04
regulation of cell communication (GO:0010646)	3509	1464	1185.34	+	1.24	1.21E-13	1.79E-11
regulation of signaling (GO:0023051)	3545	1477	1197.50	+	1.23	1.31E-13	1.91E-11
response to endogenous stimulus (GO:0009719)	1426	594	481.70	+	1.23	1.12E-05	6.16E-04
regulation of gene expression (GO:0010468)	4922	2050	1662.65	+	1.23	6.80E-20	1.76E-17
positive regulation of phosphorylation (GO:0042327)	921	383	311.11	+	1.23	5.34E-04	1.81E-02
regulation of catalytic activity (GO:0050790)	2433	1011	821.87	+	1.23	5.43E-09	4.74E-07
negative regulation of developmental process (GO:0051093)	879	365	296.93	+	1.23	8.32E-04	2.65E-02
circulatory system development (GO:0072359)	877	363	296.25	+	1.23	1.04E-03	3.18E-02
negative regulation of biological process (GO:0048519)	5501	2276	1858.24	+	1.22	1.60E-21	4.44E-19
organonitrogen compound biosynthetic process (GO:1901566)	1379	569	465.83	+	1.22	3.89E-05	1.85E-03
positive regulation of transport (GO:0051050)	947	389	319.90	+	1.22	9.88E-04	3.07E-02
regulation of molecular function (GO:0065009)	3118	1279	1053.26	+	1.21	2.81E-10	2.76E-08
positive regulation of signal transduction (GO:0009967)	1584	648	535.08	+	1.21	2.43E-05	1.21E-03
positive regulation of biological process (GO:0048518)	6331	2582	2138.61	+	1.21	1.93E-22	6.09E-20
cell projection organization (GO:0030030)	1221	497	412.45	+	1.20	3.73E-04	1.32E-02
central nervous system development (GO:0007417)	1000	407	337.80	+	1.20	1.31E-03	3.85E-02
regulation of localization (GO:0032879)	2753	1120	929.96	+	1.20	2.28E-08	1.91E-06
membrane organization (GO:0061024)	972	395	328.34	+	1.20	1.74E-03	4.92E-02
vesicle-mediated transport (GO:0016192)	1969	796	665.13	+	1.20	8.35E-06	4.71E-04
plasma membrane bounded cell projection organization (GO:0120036)	1175	474	396.92	+	1.19	8.59E-04	2.71E-02
positive regulation of developmental process (GO:0051094)	1271	511	429.34	+	1.19	7.12E-04	2.31E-02
regulation of multicellular organismal development (GO:2000026)	1332	535	449.95	+	1.19	5.60E-04	1.88E-02
positive regulation of signaling (GO:0023056)	1761	707	594.87	+	1.19	6.11E-05	2.67E-03
regulation of transport (GO:0051049)	1772	711	598.58	+	1.19	5.79E-05	2.56E-03
positive regulation of cell communication (GO:0010647)	1755	701	592.84	+	1.18	9.84E-05	4.08E-03
response to organic substance (GO:0010033)	3008	1200	1016.10	+	1.18	1.56E-07	1.17E-05
negative regulation of response to stimulus (GO:0048585)	1831	730	618.51	+	1.18	8.92E-05	3.72E-03
nervous system development (GO:0007399)	2218	881	749.24	+	1.18	1.86E-05	9.57E-04
cellular response to organic substance (GO:0071310)	2344	930	791.80	+	1.17	1.22E-05	6.61E-04
anatomical structure morphogenesis (GO:0009653)	2158	856	728.97	+	1.17	2.95E-05	1.45E-03
response to oxygen-containing compound (GO:1901700)	1604	632	541.83	+	1.17	7.29E-04	2.35E-02
regulation of cell population proliferation (GO:0042127)	1654	648	558.72	+	1.16	9.38E-04	2.94E-02
small molecule metabolic process (GO:0044281)	1622	634	547.91	+	1.16	1.31E-03	3.86E-02
establishment of localization (GO:0051234)	4631	1806	1564.35	+	1.15	4.40E-09	3.88E-07
localization (GO:0051179)	5831	2266	1969.71	+	1.15	2.09E-11	2.42E-09
transport (GO:0006810)	4476	1730	1511.99	+	1.14	8.19E-08	6.25E-06
regulation of biological quality (GO:0065008)	3995	1537	1349.51	+	1.14	1.49E-06	9.36E-05
regulation of response to stimulus (GO:0048583)	4306	1656	1454.57	+	1.14	4.76E-07	3.29E-05
response to stress (GO:0006950)	3626	1394	1224.86	+	1.14	6.50E-06	3.78E-04
regulation of multicellular organismal process (GO:0051239)	2673	1027	902.94	+	1.14	1.82E-04	6.96E-03
cellular response to chemical stimulus (GO:0070887)	2914	1112	984.35	+	1.13	2.07E-04	7.77E-03
developmental process (GO:0032502)	5797	2165	1958.23	+	1.11	2.64E-06	1.61E-04
system development (GO:0048731)	4330	1617	1462.68	+	1.11	1.13E-04	4.59E-03
regulation of cellular process (GO:0050794)	11351	4221	3834.37	+	1.10	5.42E-16	1.03E-13
multicellular organism development (GO:0007275)	4941	1836	1669.07	+	1.10	6.52E-05	2.82E-03
anatomical structure development (GO:0048856)	5330	1970	1800.48	+	1.09	7.50E-05	3.18E-03
regulation of biological process (GO:0050789)	11898	4392	4019.15	+	1.09	3.09E-15	5.55E-13
biological regulation (GO:0065007)	12568	4611	4245.48	+	1.09	4.30E-15	7.46E-13
cellular process (GO:0009987)	15495	5678	5234.22	+	1.08	1.32E-28	9.47E-26
biological_process (GO:0008150)	17851	6353	6030.08	+	1.05	4.74E-26	2.68E-23
response to biotic stimulus (GO:0009607)	1547	438	522.58	-	.84	6.56E-04	2.15E-02
regulation of immune response (GO:0050776)	1183	328	399.62	-	.82	1.00E-03	3.08E-02
response to other organism (GO:0051707)	1425	387	481.37	-	.80	7.03E-05	3.01E-03
response to external biotic stimulus (GO:0043207)	1426	387	481.70	-	.80	6.28E-05	2.73E-03
immune response (GO:0006955)	2075	546	700.94	-	.78	2.71E-08	2.25E-06
positive regulation of immune response (GO:0050778)	747	195	252.34	-	.77	1.02E-03	3.13E-02
defense response (GO:0006952)	1426	362	481.70	-	.75	2.92E-07	2.10E-05
defense response to other organism (GO:0098542)	1038	253	350.64	-	.72	9.82E-07	6.41E-05
activation of immune response (GO:0002253)	530	127	179.03	-	.71	3.23E-04	1.16E-02
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	109	153.70	-	.71	8.59E-04	2.72E-02
immune response-activating signal transduction (GO:0002757)	455	109	153.70	-	.71	8.59E-04	2.72E-02
epidermis development (GO:0008544)	422	100	142.55	-	.70	1.11E-03	3.36E-02
innate immune response (GO:0045087)	848	199	286.45	-	.69	1.34E-06	8.51E-05
negative regulation of defense response (GO:0031348)	402	94	135.80	-	.69	9.94E-04	3.08E-02
regulation of immune effector process (GO:0002697)	435	101	146.94	-	.69	4.33E-04	1.51E-02
system process (GO:0003008)	2057	474	694.86	-	.68	4.18E-16	8.05E-14
regulation of inflammatory response (GO:0050727)	518	118	174.98	-	.67	5.70E-05	2.54E-03
response to bacterium (GO:0009617)	721	162	243.55	-	.67	8.14E-07	5.43E-05
negative regulation of immune response (GO:0050777)	373	83	126.00	-	.66	3.97E-04	1.40E-02
Unclassified (UNCLASSIFIED)	2744	604	926.92	-	.65	4.74E-26	2.58E-23
leukocyte migration (GO:0050900)	379	83	128.03	-	.65	1.90E-04	7.20E-03
negative regulation of inflammatory response (GO:0050728)	320	64	108.10	-	.59	5.50E-05	2.47E-03
nervous system process (GO:0050877)	1416	267	478.33	-	.56	1.35E-21	3.81E-19
epidermal cell differentiation (GO:0009913)	322	59	108.77	-	.54	4.34E-06	2.56E-04
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	45	87.15	-	.52	1.38E-05	7.29E-04
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	41	90.87	-	.45	2.34E-07	1.72E-05
cell killing (GO:0001906)	126	19	42.56	-	.45	5.03E-04	1.72E-02
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	25	56.41	-	.44	3.89E-05	1.84E-03
membrane invagination (GO:0010324)	148	22	49.99	-	.44	1.22E-04	4.88E-03
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	32	74.99	-	.43	9.20E-07	6.11E-05
keratinocyte differentiation (GO:0030216)	270	38	91.21	-	.42	2.28E-08	1.91E-06
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	14	33.78	-	.41	1.07E-03	3.25E-02
cell recognition (GO:0008037)	241	33	81.41	-	.41	8.00E-08	6.14E-06
G protein-coupled receptor signaling pathway (GO:0007186)	1305	178	440.83	-	.40	2.20E-38	2.32E-35
lymphocyte mediated immunity (GO:0002449)	259	35	87.49	-	.40	1.54E-08	1.32E-06
defense response to bacterium (GO:0042742)	350	46	118.23	-	.39	1.82E-11	2.12E-09
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	27	70.26	-	.38	2.14E-07	1.57E-05
sensory perception (GO:0007600)	979	127	330.71	-	.38	4.92E-31	3.71E-28
plasma membrane invagination (GO:0099024)	141	18	47.63	-	.38	2.03E-05	1.03E-03
production of molecular mediator of immune response (GO:0002440)	141	17	47.63	-	.36	8.05E-06	4.63E-04
neuropeptide signaling pathway (GO:0007218)	109	13	36.82	-	.35	9.10E-05	3.79E-03
adaptive immune response (GO:0002250)	658	76	222.27	-	.34	1.08E-24	4.61E-22
antimicrobial humoral response (GO:0019730)	154	17	52.02	-	.33	5.66E-07	3.89E-05
immunoglobulin production (GO:0002377)	138	15	46.62	-	.32	2.21E-06	1.37E-04
immunoglobulin mediated immune response (GO:0016064)	201	21	67.90	-	.31	3.46E-09	3.15E-07
B cell mediated immunity (GO:0019724)	205	21	69.25	-	.30	1.76E-09	1.62E-07
humoral immune response (GO:0006959)	386	39	130.39	-	.30	3.91E-17	8.35E-15
phagocytosis, engulfment (GO:0006911)	132	13	44.59	-	.29	1.09E-06	7.08E-05
detection of stimulus (GO:0051606)	721	71	243.55	-	.29	4.47E-32	3.72E-29
keratinization (GO:0031424)	227	22	76.68	-	.29	5.37E-11	5.85E-09
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	9	34.46	-	.26	5.27E-06	3.10E-04
sensory perception of taste (GO:0050909)	69	6	23.31	-	.26	2.53E-04	9.38E-03
regulation of humoral immune response (GO:0002920)	142	12	47.97	-	.25	3.82E-08	3.04E-06
killing of cells of other organism (GO:0031640)	87	7	29.39	-	.24	1.34E-05	7.13E-04
regulation of complement activation (GO:0030449)	118	8	39.86	-	.20	4.65E-08	3.66E-06
B cell receptor signaling pathway (GO:0050853)	129	8	43.58	-	.18	4.33E-09	3.85E-07
peptide cross-linking (GO:0018149)	102	5	34.46	-	.15	3.35E-08	2.70E-06
sensory perception of bitter taste (GO:0050913)	41	2	13.85	-	.14	6.65E-04	2.17E-02
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	8	55.74	-	.14	7.91E-13	1.05E-10
